B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
P207N	0.000505288000770497	0.0407718303216198	0.0155536183902934	0.138771828796449	0	0.103607828242316	0.00318102781308474	0.112632307729034	0.0147221392758596	0	0.0660908717523144	0	0.014347704122453	0	0.0542142593979993	0.0942780135447025	0.124939021415563	0.0286825193118781	0.171596672124509	0.0161050697611539	0	0	9999	0.040339116581142	1.06278103348873
P198T	0	0.033044593821096	0.0331734258204701	0.144727764672954	0	0.0126950462933773	0.0657103111282707	0.0927323317934823	0.00902681065715238	0	0.0058924182771435	0.061422506809872	0.0423682844046609	0.0493876521401277	0.00448227125605023	0.190908154512094	0	0.106274409630823	0.120424907170939	0	0.0240791884812036	0.00364992313028304	9999	0.121667054460148	1.02560679366547
P198N	0	0.138783138264332	0.0801879456960306	0.148237408921679	0	0.134382702972877	0	0.111308292531511	0.0176737912247893	0	0	0.00491779684012344	0.0546672444234859	0.00519429332821016	0	0.0880632440237191	0.0263336314739712	0.106986679815892	0.0757146991264802	0	0	0.00754913135689907	9999	0.318395384251325	0.952751082735203
P193T	0.0188306891068159	0.156127097598204	0.0902823594976275	0.0389319103708032	0	0	0	0.104864679170842	0.0871452318022741	0.012517439029443	0.00371753911993565	0	0.0515692111781185	0	0.0519032002294726	0.117045689387297	0.0380401492465673	0.0904838194902905	0	0.115359078175891	0	0.0231819065964172	9999	0.367471044713636	0.93053186941725
P193N	0.0889108068897318	0.249203907621361	0.0333636260201337	0.154651148707784	0	0.0835121921160522	0	0.0641955432638545	0.0136425995993792	0	0.00171488877073456	0.010495785770458	0.0461520419995278	0	0.00160688790398459	0.0790562047114002	0	0.0285223165419178	0.144972050083681	0	0	0	9999	0.388979204603787	0.924523013481921
P180T	0	0.0529898036176288	0.048427518666945	0.050355182308052	0	0.197888282318327	0.0213431460945823	0.0310429485102541	0.00161443533881716	0	0.0365530329731034	0	0.0404978873542714	0	0.0630124037684115	0.286015830141264	0.0506873577105597	0.000791428253000424	0.091881839992485	0	0	0.0268989029522988	9999	0.157227962734167	1.01193202095415
P180N	0.0249596933227565	0.267922792481113	0.143765300865836	0.0779785006866908	0	0.066722828560801	0.00327291751569509	0.0863536595708585	0.00185501049317709	0	0	0	0.0102183314028099	0	0	0.119659068402541	0	0.0948623217806218	0.0835856614635571	0.00868127762111714	0	0.0101626358324247	9999	0.543571216353315	0.840692316673435
P160T	0	0.028448772762623	0.07923951906913	0.0730273007353154	0	0.117200062470602	0.0691118006894591	0.0649019334829957	0.0506910922813236	0	0.0711693036007465	0.00306181469123234	0.0115943804156014	0.112523489771178	0.0869041757300624	0.166090355801869	0.00166017508034088	0.0147331659219997	0.0496426574955214	0	0	0	9999	0.168848070354204	1.0128188170765
P160N	0	0.0740376458281206	0.0784152061512189	0.25721229135603	0	0.0172338774821391	0.00924653342690818	0.00143350664684029	0.00663523646594868	0	0	0	0.0114930396473995	0.0218853616463371	0.0534436017849076	0.0107645419283666	0.0349922972579604	0	0.423206860377823	0	0	0	9999	0.212981957682233	1.01769477871855
P156T	0.022221887861384	0	0.189584092893135	0.0728240906635457	0	0.0909997102723338	0	0.0745260354228982	0.00818386537111332	0	0.013794028765781	0	0	0.27452311791233	0.0209607880577665	0.11136605076077	0	0.0716005960110958	0.0494157360078473	0	0	0	9999	0.303293769583857	0.96447203203879
P156N	0	0	0.0149334658838053	0.120127803898442	0	0.314810376095601	0.0797820923534271	0.0729735988089272	0.00908080659257687	0	0.0319524243504441	0	0.0253724282379627	0	0.00865625008510147	0.0932336442944091	0.110051853876041	0.0580474866891965	0.0609777688340648	0	0	0	9999	0.157045500489507	1.02979296126863
P1492T	0.0120722335311723	0.101198348685735	0.0553859837747519	0.0586241882078988	0	0.110164947871627	0.0305403387759753	0.0242721532270816	0	0	0.0617524426054685	0	0	0.256579092654723	0	0.11765973487528	0.00108348598194935	0.00406476490289988	0	0.134190641197201	0	0.0324116437082359	9999	0.232827659693524	0.996038559656002
P1492N	0.0650328685224277	0	0.0526255069078621	0.0775396803357567	0	0.166197632562726	0.0335738783395042	0.0481543608689425	0.022021936400946	0	0.0405460375736908	0	0.027049028873832	0	0.00313210210089684	0.0925868412866172	0.162505931774678	0.0101126790246526	0.188514920723857	0.0104065947036104	0	0	9999	0.0449275500992709	1.05445931190943
