name	P156N_rna	P160N_rna	P180N_rna	P193N_rna	P198N_rna	P207N_rna	P229N_rna	P268N_rna	P270N_rna	P303N_rna	P326N_rna	P368N_rna	P394N_rna	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P368T_rna
Prevotella	4.555450271948393	6.961404716615308	23.494569163014464	2.187067717488849	27.75339418376448	10.69969266454888	2.664926558340506	15.119266472482742	4.249128253835897	25.6118977119656	0.5925197428209953	33.12228052615839	18.24143746052081	28.0659030368898	7.567254484050507	8.9210180919551	11.710273817592906	23.1945338732846	15.764272853604618	4.015247410941254	8.747821019433385	10.39284086949212	10.244567085955111	2.496955135383118
Fusobacterium	2.8329549961513325	1.967353506869545	11.999212050689682	1.685555581456805	1.3790506426715208	0.4512602476560419	0.993945581218891	8.971083745539628	0.7786712123933074	5.66790810371532	0.7707211692333246	0.2076632007909628	1.054418350319122	0.0383807221017298	1.359309142386383	13.028490823849156	3.78283100015468	2.489966278049281	19.59384486550437	1.1945673761523037	4.8784734347583285	7.53148468129193	6.17128732358734	5.7308822042553205
Veillonella	0.6486843910980412	2.1154685008400853	6.285745866885377	0.1483763716071131	1.905771374247452	1.3168852510214055	1.210020707570824	39.27796780475724	0.943131942597066	7.043879363620452	1.5726275880888072	0.1730526673258024	1.5665644061884092	0.0	2.237331794167062	2.8500831200897485	5.004634636949597	5.79664149529872	2.2925830523596176	1.319652965278199	11.70709805219295	7.789880724847821	21.54389117252332	1.978719163888508
Neisseria	2.256053145216626	2.079981986167662	1.840662741753571	3.633524520060337	8.284433720181799	0.5990138700530637	0.6610065815288257	0.960504255676418	0.5971769718673762	4.149118278562535	4.751913947792096	0.0692210669303209	0.02730190371362	0.0	1.8834065779186404	1.6240132221051806	13.81099025063677	6.606911360591478	0.6369997117721905	4.1710790285375445	3.6100562767689386	1.9883276249353008	9.717152030671844	2.401956525567535
Haemophilus	1.9133833540814384	1.0072739558903268	0.6166817143926244	0.3389410915411822	0.6107300280565738	19.531186148825324	1.0812759447861304	1.0135331058294104	0.4347021545623845	5.528369170286122	3.5140525746429176	0.4903158907564401	0.2089380171554974	1.524087813347996	1.489061378705083	1.0724888573505122	0.7563017403692918	1.303276806688457	4.483064368680811	3.4096879709416825	1.294860586293292	1.977191154709208	6.896572025961337	1.2166727178330574
Gemella	7.681595953341776	3.963686034298543	4.481820778912341	0.3264280175356489	2.898560147096624	1.1494364798785977	1.177609438618034	3.246677926957199	0.6544865793823058	1.3243343693568488	0.0178201426412329	0.0	1.2276442221572637	0.0095951805254324	4.972209757676507	3.386891762052348	0.6505707676440513	3.617423008749996	0.9583144591856912	2.1577264124217	1.65608076624093	0.965185221517735	1.1774923606844707	1.766713539186168
Porphyromonas	0.1612548768831289	1.2847365781357585	0.6375942121284038	4.635277849006212	1.1811313374732937	0.4228791000047186	0.2556888995164538	2.118884541803643	0.4766004834476278	1.570368965498831	2.6774764318452533	6.333727624124381	0.7004350469977025	0.2590698741866762	1.274758812955651	0.4384743261676527	7.775114052331328	0.9920025651748337	0.364896659459167	1.0913717651234398	2.213266818434138	0.7827880143017854	3.866163842247381	1.221556218523007
Sphingobacterium	0.2455471988902189	0.4604444377779788	0.0870860387297332	0.5133822457606115	0.1915348114821557	0.0141905738256617	0.8570980011960001	0.1708777856293262	0.7518204809314695	3.2834987460430094	0.0400953209427741	3.876379748097973	1.9582055077355127	3.339122822850496	1.0861465396101728	0.5835577429143028	0.3332191736713434	0.0438234064936673	2.134092584109673	0.5691394305228253	4.00554861965563	1.3641791123026246	0.2032804401181659	5.384269833710235
Moraxella	0.4910943977804379	1.2654172310961231	0.3265726452364995	1.2552641037961771	0.4309533258348504	0.0652766395980438	9.914247047447851	0.3144151255579603	6.79994774271052	1.072224844915063	0.1559262481107882	0.0	0.6364167900140416	0.0	0.8747707160333422	0.2966149853487063	0.396689492465885	0.3585551440390964	0.5786745003544367	11.376534331000212	1.0710354114380596	2.941154966357193	0.3260158001895114	0.5283314774328159
Acinetobacter	3.6612186819601487	1.3555741839477609	1.349833600310869	2.151457388303148	1.2258227934858006	0.7350717241692757	1.6205634476395048	0.1742953413419128	0.9666263326261754	0.5072565130334716	0.0712805705649317	0.0	1.2653020203829537	0.0095951805254324	2.773901192477493	1.8173041312487856	2.7271080308721505	1.4860118747398192	0.534444602238174	1.1758045377834243	0.6314775258189714	4.563730122215784	0.2569771601493796	1.6287416246973552
