	tax_id	taxonomy	type	name	kingdom	score	score_normalized	reads	unambiguous	reference_length	new_score	new_score_normalized	flagstat
0	1703962	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N1341	species	Rhizobium_sp._N1341	Bacteria	0.3454281567489114	0.0016327168917479	14	0	6555560	7.621980510787984e-06	0.0016270756323547401	45320
1	1720346	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._RSm-3	species	Rhizobium_sp._RSm-3	Bacteria	0.3454281567489114	0.0016327168917479	14	0	6912093	7.621980510787984e-06	0.0016270756323547401	45320
2	1	root	root	root	root	21229.999999999523	300.0000000000002	21230	21230	0	0.0	0.0	45320
3	2	root|cellular_organisms|Bacteria	superkingdom	Bacteria	Bacteria	21156.64745644307	100.00000000000009	21160	21050	0	0.0	0.0	45320
4	1703960	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N113	species	Rhizobium_sp._N113	Bacteria	0.3454281567489114	0.0016327168917479	14	0	6524337	7.621980510787984e-06	0.0016270756323547401	45320
5	1720344	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Psychrobacter|Psychrobacter_sp._AntiMn-1	species	Psychrobacter_sp._AntiMn-1	Bacteria	0.5	0.00236332340003	2	0	3138120	1.1032656663724624e-05	0.002355157795572303	45320
6	1703961	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N1314	species	Rhizobium_sp._N1314	Bacteria	0.3454281567489114	0.0016327168917479	14	0	6274511	7.621980510787984e-06	0.0016270756323547401	45320
7	1703966	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N731	species	Rhizobium_sp._N731	Bacteria	0.3454281567489114	0.0016327168917479	14	0	6274507	7.621980510787984e-06	0.0016270756323547401	45320
8	1703967	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N741	species	Rhizobium_sp._N741	Bacteria	0.3454281567489114	0.0016327168917479	14	0	6556348	7.621980510787984e-06	0.0016270756323547401	45320
9	1703964	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N621	species	Rhizobium_sp._N621	Bacteria	0.3454281567489114	0.0016327168917479	14	0	6425255	7.621980510787984e-06	0.0016270756323547401	45320
10	1703965	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium/Agrobacterium_group|Rhizobium|Rhizobium_sp._N6212	species	Rhizobium_sp._N6212	Bacteria	0.3454281567489114	0.0016327168917479	14	0	6424414	7.621980510787984e-06	0.0016270756323547401	45320
11	172043	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas|Brevundimonas_nasdae	species	Brevundimonas_nasdae	Bacteria	21.415079365079368	0.1012215163539871	180	0	3407832	0.0004725304361226692	0.10087178221893248	45320
12	1179672	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium_sp._KBS0721	species	Flavobacterium_sp._KBS0721	Bacteria	0.6726190476190477	0.003179232669088	10	0	5859120	1.4841550035724794e-05	0.0031682479869008366	45320
