name	type	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P368T_rna
Filifactor	genus	Bacteria	0.0	0.0032519357473358	0.0128963037108133	0.0190410956383624	0.0278876223141519	1.1610348255518952	0.1469755672229274	0.0309547806774005	0.0341994763529906	0.1610901600936409	0.0033651686460688
Filomicrobium	genus	Bacteria	0.0	0.0240727711166419	0.0003224075927703	0.0007933789849317	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fimbriimonas	genus	Bacteria	0.0	0.0032519357473358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Finegoldia	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061909561354801	0.0	0.0	0.0
Fistulifera	genus	Eukaryota	0.0	0.2063456467740065	0.0029016683349329	0.0215799083901441	0.0	0.0047915722959284	0.0160700236029796	0.0	0.0113048269055718	0.0009588700005573	0.0228831467932684
Flaviflexus	genus	Bacteria	0.0	0.0	0.0	0.0317351593972708	0.0	0.0	0.0	0.0	0.0	0.0	0.0201910118764133
Flavihumibacter	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0109449890485158	0.0077386951693501	0.0	0.0	0.0
Flavisolibacter	genus	Bacteria	0.0623686734153109	0.0173436573191245	0.0354648352047366	0.0	0.0039839460448788	0.0184291242151094	0.0500342356503582	0.0257956505645004	0.003419947635299	0.0019177400011147	0.0047112361044964
Flavobacterium	genus	Bacteria	4.872207789910788	1.3723778893096332	0.7889935717275353	1.0883523587266908	0.6792500432997899	0.3223627225778633	0.7932432645163109	0.1960412726559372	0.9233076578219614	0.1012319616834954	1.6044973446432511
Flectobacillus	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0073716496860437	0.0	0.0061909561354801	0.0	0.0	0.0
Fluoribacter	genus	Bacteria	0.0125248014701723	0.0	0.0023560554856293	0.0	0.0	0.0020104499143755	0.0021033737457181	0.0	0.0	0.0	0.0013231468051106
Fluviicola	genus	Bacteria	0.0	0.0065038714946716	0.0	0.0063470318794541	0.0278876223141519	0.0147432993720875	0.0031271397281473	0.00309547806774	0.0	0.0038354800022295	0.0235561805224822
Formosa	genus	Bacteria	0.0	0.0	0.0	0.0095205478191812	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fournierella	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067303372921377
Frankia	genus	Bacteria	0.0	0.0219624781470712	0.0020572722587418	0.0147614875218305	0.0010097837269595	0.00012709740838	0.0002881873867116	0.0019346737923375	0.0103121053625588	0.0	0.0002926233605277
