type	name	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P207T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P326T_rna	P368T_rna	P394T_rna
species	Mycobacterium_sp._ACS4331	Bacteria	0.0	8.131506231339976e-05	0.0	0.0003905929370607	0.0	0.0	8.96397879299928e-05	9.75754019323216e-05	0.0001590916223435	0.0006203358657151	0.0	0.0	3.488003621942934e-05	0.000160319874921
species	Mycobacterium_sp._D16Q13	Bacteria	0.0	6.999117761206217e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.096250415257353e-05	0.0	0.0	0.0	0.0
species	Mycobacterium_sp._D16Q14	Bacteria	0.0	6.999117761206217e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.096250415257353e-05	0.0	0.0	0.0	0.0
species	Mycobacterium_sp._D16Q16	Bacteria	0.0	6.999117761206217e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.096250415257353e-05	0.0	0.0	0.0	0.0
species	Mycobacterium_sp._D16Q20	Bacteria	0.0	6.999117761206217e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.096250415257353e-05	0.0	0.0	0.0	0.0
species	Mycobacterium_sp._D16R12	Bacteria	0.0	6.999117761206217e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.096250415257353e-05	0.0	0.0	0.0	0.0
species	Mycobacterium_sp._D16R18	Bacteria	0.0	6.999117761206217e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.096250415257353e-05	0.0	0.0	0.0	0.0
species	Mycobacterium_sp._D16R24	Bacteria	0.0	6.999117761206217e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.096250415257353e-05	0.0	0.0	0.0	0.0
species	Mycobacterium_sp._D17A2	Bacteria	0.0	6.999117761206217e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.096250415257353e-05	0.0	0.0	0.0	0.0
species	Mycobacterium_sp._E136	Bacteria	0.0	0.0010125521412298	4.082965866405355e-05	0.0004311388863835	0.0002602228548528	0.0	0.0006029757607512	0.0005701910197786	0.0023981555048298	0.00136046019611	0.0	4.703465325112918e-05	0.0009845132319861	2.5739429459806403e-05
species	Mycobacterium_sp._E1386	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E152	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E1715	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E1747	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E183	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E188	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E2238	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E2327	Bacteria	0.0	0.0001767575772389	0.0	0.0001602825801587	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0003371082432928	8.38104190354967e-05	0.0	4.703465325112918e-05	0.0002575500447464	2.5739429459806403e-05
species	Mycobacterium_sp._E2479	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E2660	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E2699	Bacteria	0.0	0.0001767575772389	0.0	0.0001602825801587	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0003371082432928	8.38104190354967e-05	0.0	4.703465325112918e-05	0.0002575500447464	2.5739429459806403e-05
species	Mycobacterium_sp._E2733	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E2978	Bacteria	0.0	0.0001767575772389	0.0	0.0001602825801587	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.000393204504477	8.38104190354967e-05	0.0	4.703465325112918e-05	0.0002575500447464	2.5739429459806403e-05
species	Mycobacterium_sp._E2989	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E3078	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E3121	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E3198	Bacteria	0.0	0.0001767575772389	0.0	0.0001602825801587	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0003371082432928	8.38104190354967e-05	0.0	4.703465325112918e-05	0.0002575500447464	2.5739429459806403e-05
species	Mycobacterium_sp._E3251	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E3298	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	0.0031158510610482	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
