type	name	kingdom	P1492N_rna	P1492T_rna
species	Acinetobacter_seifertii	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1130196	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1179249	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1239920	Bacteria	0.0003268176041633	0.0
species	Acinetobacter_sp._1245593	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1264765	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1281984	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1294243	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1295259	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1424608	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1461402	Bacteria	0.0003268176041633	0.0
species	Acinetobacter_sp._1475718	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1542444	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1564232	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._1592897	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._216872	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._225588	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._230853	Bacteria	0.0077907084783182	0.0
species	Acinetobacter_sp._259052	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._25977_1	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._25977_2	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._25977_3	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._25977_4	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._25977_6	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._25977_7	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._25977_8	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._263903-1	Bacteria	0.0003268176041633	0.0
species	Acinetobacter_sp._263903-2	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._478810	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._528	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._694762	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._72431	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._742879	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._766875	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._796380-1375	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._809848	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._826659	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._869535	Bacteria	0.0003268176041633	0.0
species	Acinetobacter_sp._883425	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._88816	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._907131	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._983759	Bacteria	0.0003268176041633	0.0
species	Acinetobacter_sp._A47	Bacteria	0.0698885585185676	0.0284936619757822
species	Acinetobacter_sp._AG1	Bacteria	0.071677841282637	0.0280316388099406
species	Acinetobacter_sp._ANC_3789	Bacteria	0.0048040498237459	0.0
species	Acinetobacter_sp._ANC_3862	Bacteria	0.071677841282637	0.0289805045678879
species	Acinetobacter_sp._ANC_3880	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._ANC_3929	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._ANC_4105	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._ANC_4945	Bacteria	0.0299116804795551	0.0090847404446133
species	Acinetobacter_sp._ANC_5600	Bacteria	0.0299116804795551	0.0095429260814647
species	Acinetobacter_sp._ATCC_27244	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._Ag2	Bacteria	0.071677841282637	0.0277020838245152
species	Acinetobacter_sp._CIP-A165	Bacteria	0.1098924888365264	0.0
species	Acinetobacter_sp._CIP_101934	Bacteria	0.1256271785308746	0.0490922263763857
species	Acinetobacter_sp._CIP_101966	Bacteria	0.0280826063463554	0.0018874512801638
species	Acinetobacter_sp._CIP_102082	Bacteria	0.0129151739007836	0.0010966053979958
species	Acinetobacter_sp._CIP_102129	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._CIP_102136	Bacteria	0.0285555023139715	0.0018874512801638
species	Acinetobacter_sp._CIP_102143	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._CIP_102159	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._CIP_102529	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._CIP_102637	Bacteria	0.0373340939987207	0.0681974436264044
