type	name	kingdom	P156N_rna	P160N_rna	P180N_rna	P193N_rna	P198N_rna	P207N_rna	P223N_rna	P229N_rna	P268N_rna	P270N_rna	P303N_rna	P326N_rna	P368N_rna	P394N_rna
genus	Mesorhizobium	Bacteria	0.0334772014483373	0.0409451376798256	0.0385122412644846	0.0430515543458887	0.0007813191610577	0.0101989203512764	0.0129352898061226	0.0177084126107975	0.0231498714340682	0.0203099525883744	0.0031387129548977	0.0	0.0	0.0130355484442474
genus	Metarhizium	Fungi	0.0	0.0	0.0048874817654442	0.0052567628797948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0097975483695391
genus	Methanobrevibacter	Archaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0089100713206164	0.0	0.0
genus	Methylibium	Bacteria	0.1867104848702216	0.0357064672597235	0.05005184254332	0.1279535734658324	0.0129857902115964	0.0260443526614722	0.0426619917602005	0.0721877537957304	0.0293606050595497	0.0518649235292168	0.0126956262898433	0.0	0.0021974941882641	0.0287364285877842
genus	Methylobacillus	Bacteria	0.0051308369917359	0.0164411586031183	0.0078304253311608	0.0	0.0	0.0056762295302646	0.0	0.0010289291731044	0.006835111425173	0.0	0.0	0.0	0.0	0.0
genus	Methylobacter	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0089100713206164	0.0	0.0
genus	Methylobacterium	Bacteria	1.216140758768299	0.6098473882178254	0.0969350550146435	0.4029837388861599	0.1916035356777507	0.1745440580556388	0.2407769081718384	2.75517784697554	0.2696071728818257	0.9649481619098078	0.7102603670518557	0.0490053922633905	1.0210107372222328	0.8374257485431293
genus	Methylocapsa	Bacteria	0.0196356317255163	0.0	0.064571533081947	0.0	0.0009120705308674	0.0	0.0002844661709227	0.0018006260529327	0.0	0.0067126828654595	0.0	0.0044550356603082	0.0	0.0252845216658156
genus	Methyloceanibacter	Bacteria	0.007529669870989	0.0	0.0049763450702704	0.0218730371741738	0.0	0.0	0.0	0.0	0.0	0.0016781707163648	0.0	0.0	0.0	0.0632651010191473
genus	Methylocella	Bacteria	0.0001593427637185	0.0	0.0007775539172297	0.0	0.0	0.0	0.0002844661709227	0.0018006260529327	0.0	0.0	0.0	0.0	0.0	0.0
genus	Methylocystis	Bacteria	0.0027991212159884	0.0032198911732725	0.0054255984446698	0.0	0.0	0.0	0.002204612824651	0.0	0.0	0.0	0.0	0.0	0.0	0.0030484884277933
genus	Methyloferula	Bacteria	0.0	0.0	0.0272489450549185	0.0	0.0	0.0	0.0013512143118829	0.0018006260529327	0.0	0.0	0.0	0.0	0.0	0.0068680651049697
genus	Methyloligella	Bacteria	0.0014659534262102	0.0	0.0012440862675676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007531559645136
genus	Methylophilus	Bacteria	0.0070679897335137	0.0071663218933348	0.0066738387371434	0.0010315690597446	0.0097895570313101	0.000461889265698	0.0012605755809516	0.0003001043421554	0.0055535280329531	0.0	0.0	0.0	0.0	0.0100420795268487
genus	Methylopila	Bacteria	0.0013030697121869	0.0	0.0006911590375375	0.0	0.0009822298024725	0.0028381147651323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0152424421389669
genus	Methylosinus	Bacteria	0.0	0.0	0.0091232992954958	0.0	0.0	0.0	0.0064004888457611	0.0043215025270386	0.0	0.0	0.0	0.0	0.0	0.0008069528191217
genus	Methylotenera	Bacteria	0.0039266609630632	0.002575912938618	0.003110215668919	0.0	0.0061716772588694	0.0	0.0	0.0	0.0017087778562932	0.0	0.0	0.0	0.0	0.0050210397634243
genus	Methyloversatilis	Bacteria	0.0064746276324286	0.007781403668742	0.0208963803716688	0.0021019985977674	0.0	0.0028381147651323	0.0174946695117472	0.005221815553505	0.0082021337102076	0.0	0.006074928299802	0.0035640285282465	0.0	0.0
genus	Methylovorus	Bacteria	0.0051308369917359	0.0051715394966643	0.003110215668919	0.0	0.0	0.0	0.0	0.0299889981911065	0.0	0.0	0.0	0.0	0.0	0.0
genus	Microbacterium	Bacteria	0.0140204575116342	0.0032556677418644	0.0003455795187687	0.0097456257618257	0.0044691456012503	0.0023674030479884	0.0063801698335524	0.0092632206945319	0.0047745263631723	0.0113841036214652	0.0359747124640838	0.0	0.0	0.0067894795036304
genus	Micrococcus	Bacteria	0.00555285388716	0.0353114732002226	0.0767375029586025	0.0553713641315636	0.0096481400348575	0.0494716576332548	0.0034135940510726	0.0606219165681087	0.010439079267537	0.039770466535359	0.0168362298594514	0.0	0.0	0.0
genus	Microcoleus	Bacteria	0.0	0.0	0.006220431337838	0.0	0.0	0.0	0.0085339851276815	0.0	0.006835111425173	0.0	0.0	0.0	0.0	0.0
genus	Micromonospora	Bacteria	0.0290368041999038	0.001287956469309	0.0139959705101356	0.0076670268270117	0.0028961543958412	0.0	0.0074219810049836	0.0085614003265552	0.0243867011205281	0.0024351195495303	0.0018224784899406	0.0	0.0	0.0007621221069483
genus	Microterricola	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009861896590587	0.0	0.0	0.0
genus	Microvirga	Bacteria	0.0549732534828848	0.0354188029059983	0.0435430193648666	0.0	0.0131562985019823	0.0113524590605293	0.0234684591011243	0.2110887772822728	0.006835111425173	0.0067126828654595	0.0	0.0178201426412329	0.0	0.1355680736124585
genus	Mitsuaria	Bacteria	0.0204053489676604	0.0085189167975183	0.0079395508244704	0.0930987204751004	0.0040861929104053	0.0068461363952503	0.0032866436414606	0.0108728125855765	0.0035588361423585	0.0227218681969495	0.0024142521394661	0.0023335901077805	0.0021974941882641	0.0107244335447112
genus	Mitsuokella	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0085339851276815	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Mizugakiibacter	Bacteria	0.0	0.0032198911732725	0.0	0.0	0.0	0.0	0.0	0.0009003130264663	0.0	0.0	0.0	0.0	0.0	0.0
genus	Mobilibacterium	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0075315596451365
genus	Mobilicoccus	Bacteria	0.0007329767131051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Modestobacter	Bacteria	0.0024432557103504	0.0	0.0082939084504507	0.000456542681868	0.0004965717334722	0.0009460382550441	0.0085339851276815	0.007202504211731	0.0	0.0100259942798209	0.0002024976099934	0.0	0.0	0.0
genus	Mogibacterium	Bacteria	0.0293190685242052	0.0128795646930903	0.0808656073918951	0.1276036795821173	0.0031922468580359	0.008514344295397	0.0896068438406566	0.1548538405522185	0.0615160028265574	0.0067126828654595	0.0607492829980205	0.0178201426412329	0.0	0.0
genus	Monashia	Bacteria	0.0117484353566658	0.0027080110380343	0.0045553836454845	0.0	0.0	0.0039175686715288	0.0020787912490506	0.0048432223834012	0.0178336956212478	0.0	0.0009346043538157	0.0	0.0	0.0
genus	Moraxella	Bacteria	0.4910943977804379	1.2654172310961231	0.3265726452364995	1.2552641037961771	0.4309533258348504	0.0652766395980438	0.3413594051072635	9.914247047447851	0.3144151255579603	6.79994774271052	1.072224844915063	0.1559262481107882	0.0	0.6364167900140416
genus	Morganella	Bacteria	0.2640182120604683	0.0032198911732725	0.006220431337838	0.011870109728569	0.0127689874321437	0.0113524590605293	3.519984398997732	0.0939926799630908	0.0737215589429379	0.0369197557600275	0.1192204678836153	0.8761570131939527	0.0692210669303209	0.0075315596451365
genus	Morococcus	Bacteria	0.0256945811658694	0.0158076772029666	0.0152882891740265	0.0606067603829653	0.265587451629651	0.007785392513601	0.0118659690358294	0.005305085880878	0.0252641160730195	0.0102208123212877	0.0636194706939202	0.0492123215759946	0.0	0.0
genus	Mucilaginibacter	Bacteria	0.0024432557103504	0.003434550584824	0.0035249110914415	0.0	0.0	0.008514344295397	0.0064004888457611	0.0144050084234621	0.0022783704750576	0.0	0.0025312201249175	0.0	0.0	0.0
genus	Mycetocola	Bacteria	0.0	0.0017953428293035	0.0003455795187687	0.0006783499779903	0.0	0.0003845683963593	0.0004368587624884	0.0013162185006492	0.0005612162567237	0.0019293840616961	0.0089586518808858	0.0	0.0	0.0019475548173282
genus	Mycobacterium	Bacteria	0.4775666403389113	1.0125701240266791	0.4861907009444303	0.2321481694199	0.6296828736529092	1.0086018616360737	0.1245572390522446	0.7535797471161276	0.3378991785574501	0.447229040130561	0.3659046326582893	1.7251651587064538	0.293341967715755	0.1762764909259798
genus	Mycoplasma	Bacteria	0.3151799866352062	0.2060730350894449	0.8926318969797644	0.169149063632109	0.0510759497285748	0.6839856583968933	0.3328254199795816	0.0288100168469243	0.0341755571258652	0.0537014629236763	0.0364495697988123	0.0	0.0	0.0
genus	Myxococcus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0302070728945679	0.0013499840666226	0.0	0.0	0.0
genus	Nakamurella	Bacteria	0.0	0.0064397823465451	0.0	0.0003755101901814	0.0003839949119086	0.0	0.0	0.0008823394451757	0.0	0.0015017911057197	0.0	0.0	0.0	0.0012069807123616
genus	Natronohydrobacter	Bacteria	0.0	0.0006439782346545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010759370921623
genus	Nautella	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012004173686218	0.0	0.0	0.0	0.0	0.0	0.0
genus	Neglecta	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0173052667325802	0.0075315596451365
genus	Neisseria	Bacteria	2.256053145216626	2.079981986167662	1.840662741753571	3.633524520060337	8.284433720181799	0.5990138700530637	1.0805908021215105	0.6610065815288257	0.960504255676418	0.5971769718673762	4.149118278562535	4.751913947792096	0.0692210669303209	0.02730190371362
